case_name,country,province,location,infrastructure_type,supply_chain_role,link_to_eu,main_impacts,conflict_category,affected_groups,main_actors,status_standardized,evidence_quality,relevance_to_core_argument,article_use_recommendation,us_coast_bucket,lng_specificity,raw_link,notes
"Wind power electrification of the Muolkkut (Melkøya) LNG plant, Sapmi (Norway)",Norway,"Hammerfest, Troms",Melkøya,Pipeline,Transit,Indirect EU supply / contextual processor,Loss of landscape/aesthetic degradation; Other Environmental impacts; Loss of landscape/sense of place | Loss of traditional knowledge/practices/cultures | Land dispossession,Indigenous rights / land,Indigenous communities; Fishing and coastal communities; Local residents,Prime Minister Jonas Gahr Støre The Norwegian Ministry of Energy |,Planned,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/electrification-of-the-melkoya-lng-plant-sapmi-norway,No additional coding note.
"Port Qasim, LNG Terminal Expansion, Pakistan",Pakistan,Not specified clearly in live EJAtlas metadata.,Not specified clearly in live EJAtlas metadata.,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Floods (river, coastal, mudflow); Global warming; Noise pollution; Waste overflow; Oil spills; Air pollution; Desertification/Drought; Deforestation and loss of vegetation cover; Biodiversity loss (wildlife, agro-diversity); Loss of traditional knowledge/practices/cultures",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents; Women,Mitsubishi Corporation; Energas Terminal Pvt Ltd; Lucky Trading Co; Sapphire Group; Halmore Powe; Port Qasim Authority |,Planned,strong,contextual,Contextual case,,Direct LNG case,https://ejatlas.org/conflict/port-qasim-lng-terminal-expansion-pakistan,No additional coding note.
"Aqaba Port and Arab Gas Pipeline, Jordan",Jordan,Not specified clearly in live EJAtlas metadata.,Aqaba,Pipeline,Transit,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Food insecurity (crop damage); Global warming; Noise pollution; Other socio-economic impacts | Loss of livelihood",Water / pollution,Fishing and coastal communities; Workers; Local residents,National Electric Power Company (Jordan); NOBLE ENERGY; Delek Group; Aqaba Development Corporation; Jordan's National Parliament |,Operating,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/arab-gas-pipeline-jordan,No additional coding note.
"The Kakhovka Dam Destruction, Ukraine",Ukraine,State or Province: Kherson,"Kakhovka, Kherson Oblast",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Floods (river, coastal, mudflow); Food insecurity (crop damage); Loss of landscape/aesthetic degradation; Soil contamination; Soil erosion; Waste overflow; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Deaths; Displacement | Increase in violence and crime | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Specific impacts on women | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Local residents; Farmers,Ukrainian State Hydropower Company Ukrhydroenergo JSC; Ukrainian Government Russian Military Occupation Forces |,Cancelled / suspended,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/the-kakhovka-dam-destruction-ukraine,No additional coding note.
"Masela Block and Abadi LNG, Indonesia",Indonesia,Maluku,Tanimbar Islands Regency,Liquefaction / export facility,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Desertification/Drought; Deforestation and loss of vegetation cover; Reduced ecological / hydrological connectivity; Displacement | Loss of livelihood | Land dispossession",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,INPEX Corporation; Royal Dutch Shell; Pertamina; PETRONAS; Sumitomo Mitsui Banking Corporation (SMBC); Special Task Force for Upstream Oil and Gas Activities (SKK Migas) Minister of Energy and Mineral Resources (MEMR) |,Planned,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/masela-block-and-abadi-lng-indonesia,No additional coding note.
"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium",Belgium,West-Vlaanderen,Zeebrugge,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,Air pollution; Global warming,Coastal / marine,Local residents,Fluxys,Operating,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/occupation-of-fluxys-lng-terminal-in-zeebrugge-belgium,No additional coding note.
"Shimizu LNG power plant project in Shizuoka, Japan",Japan,Shizuoka prefecture,"Shimizu ward, Shizuoka city",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Surface water pollution / Decreasing water (physico-chemical, biological) quality; Other Environmental impacts; Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Other Health impacts; Loss of landscape/sense of place | Loss of livelihood",Water / pollution,Fishing and coastal communities; Local residents; Women,"ENEOS Corporation; Governor of Shizuoka Prefecture Governor of Shizuoka City Ministry of Economy, Trade and Industry, Japan |",Cancelled / suspended,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/shimizu-natural-gas-power-plant-construction-project-japan,No additional coding note.
"Melchorita Gas Plant in Lima and the Peru LNG Gas Pipeline in Ayacucho, Peru",Peru,Ayacucho,Vinchos,Pipeline,Transit,Broader LNG / environmental justice context,"Fires; Groundwater pollution or depletion; Reduced ecological / hydrological connectivity; Food insecurity (crop damage); Air pollution; Biodiversity loss (wildlife, agro-diversity); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Oil spills; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Other Health impacts; Increase in Corruption/Co-optation of different actors | Increase in violence and crime | Loss of livelihood | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents; Farmers,Hunt Oil; Shell Oil Company; Marubeni ; Global Energy Partners (EIG) ; MidOcean Energy; Transportadora de Gas del Perú ; Peru LNG; SK Energy; Repsol; US EXIM Bank; Export-Import Bank of Korea (KEXIM); Banco Interamericano de Desarrollo (BID) ; Export Credit Agency of Italy; Banco de Crédito del Perú; Government of Perú The Peruvian human rights ombudsman |,Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/conflictos-socioambientales-en-ayacucho-por-el-gasoducto-y-la-planta-de-gas-melchorita-de-lima-peru,No additional coding note.
"Puerta al Sureste pipeline and LNG terminal in Coatzacoalcos, Mexico",Mexico,Veracruz,Coatzacoalcos,Pipeline,Transit,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Reduced ecological / hydrological connectivity; Accidents; Occupational disease and accidents; Deaths; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Increase in Corruption/Co-optation of different actors | Increase in violence and crime | Loss of livelihood | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents; Farmers,CFEnergía; TC Energy; Government of Mexico (MORENA) |,Planned,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/terminal-de-gas-natural-licuado-lng-en-coatzacoalcos-mexico,No additional coding note.
"Ksi Lisims Floating LNG Terminal, British Colombia, Canada",Canada,British Colombia,Pearce Island ,FLNG,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Other environmental related diseases; Other Health impacts; Loss of traditional knowledge/practices/cultures | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,Advantage Energy; Birchcliff Energy; Canadian Natural Resources Ltd ; Murphy Oil; NuVista Energy; Ovintiv Inc.; Paramount Resources; Peyto Exploration & Development Corp.; Tourmaline Oil Corp.; Veren Inc.; Whitecap Resources Inc.; Woodside Energy International (Canada) Limited; British Columbia Environmental Assessment Office Canadian Impact Assessment Agency Nisga’a Nation |,Under construction,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/tuck-inlet-lng-terminal-british-colombia,No additional coding note.
"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain",Spain,Valencia,Sagunto,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Other Environmental impacts; Fires; Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Groundwater pollution or depletion; Reduced ecological / hydrological connectivity; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Deaths; Other environmental related diseases; Other Health impacts; Accidents; Mental problems including stress, depression and suicide; Occupational disease and accidents; Increase in Corruption/Co-optation of different actors | Lack of work security, labour absenteeism, firings, unemployment | Violations of human rights",Water / pollution,Indigenous communities; Workers; Local residents,"Enagás, S.A.; Osaka Gas; Oman Oil Company;  European Investment Bank; Ministerio de Agricultua y Pesca, Alimentacion y Medio Ambiente; Government of Spain |",Operating,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/terminal-de-gas-natural-licuado-lng-en-sagunto-espana,No additional coding note.
"Cove Point LNG export terminal, USA",United States,Maryland,"Cove Point, Lusby, Calvert County",LNG terminal,Export / extraction,Indirect EU supply chain / export-side context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Noise pollution; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Global warming; Exposure to unknown or uncertain complex risks (radiation, etc…); Other Health impacts; Accidents; Land dispossession | Loss of landscape/sense of place | Loss of livelihood | Loss of traditional knowledge/practices/cultures",Water / pollution,Fishing and coastal communities; Local residents,Dominion Energy; The Federal Energy Regulatory Commission (FERC) |,Operating,strong,core-provisional,Keep in core article with scope note,East Coast,Direct LNG case,https://ejatlas.org/conflict/cove-point-lng-export-terminal-usa,No additional coding note.
"Goldboro LNG Terminal, Nova Scotia, Canada",Canada,Nova Scotia,"Goldboro, Guysborough County ",LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Desertification/Drought; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Air pollution; Deforestation and loss of vegetation cover; Groundwater pollution or depletion; Other Environmental impacts; Genetic contamination; Accidents; Violence related health impacts (homicides, rape, etc..) ; Occupational disease and accidents; Deaths; Other Health impacts; Mental problems including stress, depression and suicide; Other environmental related diseases; Increase in Corruption/Co-optation of different actors | Increase in violence and crime | Loss of livelihood | Militarization and increased police presence | Specific impacts on women | Other socio-economic impacts | Loss of traditional knowledge/practices/cultures | Social problems (alcoholism, prostitution, etc..) | Violations of human rights | Loss of landscape/sense of place | Displacement | Economic Inequality (P): Often, such projects exacerbate income inequality as profits are centralized. Dependency on External Resources (P): The local economy might become overly dependent on project-related revenue, which can be unsustainable in the long-term. Decrease in Property Values (P): Nearby areas may suffer from reduced property values due to environmental or aesthetic degradation. Health Expenses Increase (P): Communities often face increased healthcare costs due to pollution-related diseases.",Water / pollution,Indigenous communities; Workers; Local residents; Women,"Pieridae Energy; The Federal Government of Canada The Province of Nova Scotia, The Federal Government of Genrmany (for financement) |",Cancelled / suspended,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/goldboro-lng-terminal-nova-scotia-canada,No additional coding note.
"Kribi Deep sea port, Cameroon",Cameroon,South Province,Kirbi,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Other Environmental impacts; Air pollution; Biodiversity loss (wildlife, agro-diversity); Food insecurity (crop damage); Soil contamination; Deforestation and loss of vegetation cover; Loss of landscape/aesthetic degradation; Noise pollution; Other Health impacts; Exposure to unknown or uncertain complex risks (radiation, etc…); Lack of work security, labour absenteeism, firings, unemployment | Other socio-economic impacts | Displacement | Land dispossession | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents; Farmers,China Harbour Engineering Company; China Communication Construction Company Ltd.; Perenco; Engie; Société Nationale Hydrocarbures de Cameroon; African Development Bank; China Export Import Bank; International Container  Terminal Services Inc; Port Authority of Kribi (PAK) from Cameroon |,Under construction,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/kribi-deep-sea-port-cameroon,No additional coding note.
"LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey",United States,New Jersey,Greenwich Township,LNG terminal,Export / extraction,Indirect EU supply chain / export-side context,"Biodiversity loss (wildlife, agro-diversity); Noise pollution; Air pollution; Loss of landscape/aesthetic degradation; Soil contamination; Soil erosion; Waste overflow; Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Occupational disease and accidents; Deaths; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors",Water / pollution,Local residents,Dupont; Chemours Company; New Fortress Energy; FTAI Infrastructure Inc; Delaware River Partners; Delaware River Basin Commission (DRBC) New Jersey Department of Environmental Protection (NJDEP) Environmental Protection Agency (EPA) Gloucester County Improvement Authority (GCIA) U.S. Army Corps of Engineers Federal Energy Regulatory Commission (FERC) Greenwich Township Planning Board Pipeline and Hazardous Materials Safety Administration (PHMSA) |,Under construction,strong,core-provisional,Keep in core article with scope note,East Coast,Direct LNG case,https://ejatlas.org/conflict/the-fallout-and-future-of-the-dupont-repauno-chemical-site-greenwich-township-new-jersey,No additional coding note.
"Offshore LNG Terminal, Hong Kong","Hong Kong SAR, China",Soko Islands,Hong-Kong,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Noise pollution; Biodiversity loss (wildlife, agro-diversity); Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Deaths; Other Health impacts; Other socio-economic impacts | Loss of livelihood | -Direct disturbances and changes to fisheries habitat and Loss of Access to Fishing Ground; -Impingement and entrainment of fisheries resources.",Water / pollution,Fishing and coastal communities; Local residents; Farmers,Hong Kong Electric Company Limited; CLP Group; China Souther Power Grid; The Hong Kong government also known as HKSAR government |,Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/hong-kong-offshore-lng-terminal,No additional coding note.
"Toyuan Liquid Natural Gas (LNG) Terminal, Taiwan",Taiwan,Guanyin District,Datan Borough,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Noise pollution; Reduced ecological / hydrological connectivity; Large-scale disturbance of hydro and geological systems; Displacement | Loss of livelihood | Loss of landscape/sense of place",Water / pollution,Fishing and coastal communities; Local residents,"CPC Corporation, Taiwan ; 經濟部 (Jīngjìbù), MInistry of Economic Affairs 環境保護署 (Huánjìng Bǎohù Shǔ), Environmental Protection Administration 臺灣中油股份有限公司 (Táiwān Zhōngyóu Gǔfèn Yǒuxiàn Gōngsī), CPC corporation 行政院 (Xíngzhèng Yuàn), Executive Yuan |",Under construction,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/toyuan-liquid-natural-gas-lng-terminal-taiwan,No additional coding note.
